Структура,Участок,Доля_набл,Доля_ожид,SD_фон,log2(набл/ожид),z
Квадруплексы,Экзоны,0.1014,0.2355,0.0039,-1.217,-34.38
Квадруплексы,Интроны,0.5592,0.4409,0.0042,0.343,28.01
Квадруплексы,Промоторы (1000 п.н. до TSS),0.0696,0.0534,0.0018,0.381,9.04
Квадруплексы,Downstream (200 п.н.),0.0165,0.009,0.0008,0.875,9.69
Квадруплексы,Межгенные участки,0.2533,0.2611,0.0028,-0.044,-2.74
Zhunt,Экзоны,0.1868,0.2279,0.0009,-0.287,-48.01
Zhunt,Интроны,0.4149,0.4469,0.0011,-0.107,-29.37
Zhunt,Промоторы (1000 п.н. до TSS),0.1043,0.0542,0.0004,0.943,111.67
Zhunt,Downstream (200 п.н.),0.0102,0.0089,0.0002,0.195,6.22
Zhunt,Межгенные участки,0.2838,0.262,0.001,0.115,20.88
ZDNABERT,Экзоны,0.1799,0.2324,0.0021,-0.37,-24.52
ZDNABERT,Интроны,0.3858,0.4432,0.0026,-0.2,-22.36
ZDNABERT,Промоторы (1000 п.н. до TSS),0.1697,0.0538,0.0012,1.657,99.72
ZDNABERT,Downstream (200 п.н.),0.0118,0.009,0.0004,0.395,6.29
ZDNABERT,Межгенные участки,0.2529,0.2616,0.002,-0.049,-4.36
