family_pfam,family_name,gene_id,gene_name,protein_id,seqid,start,end,strand,evalue,score
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141866834,LOC141866834,XP_074612468.1,NC_133895.1,2610647,2611178,-,3.2e-42,133.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141877853,LOC141877853,XP_074618990.1,NC_133884.1,12301627,12302217,-,3.2e-42,133.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141896557,LOC141896557,XP_074637905.1,NC_133892.1,8842208,8843378,+,3.2e-42,133.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141876939,LOC141876939,XP_074617859.1,NC_133884.1,12342964,12344036,+,3.2e-42,133.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141859804,LOC141859804,XP_074606791.1,NC_133882.1,2781239,2781722,+,3.2e-42,133.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141897001,LOC141897001,XP_074638512.1,NC_133892.1,9143760,9144494,-,3.2e-42,133.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141897144,LOC141897144,XP_074638710.1,NC_133882.1,2333549,2334337,+,1.2e-41,131.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141896666,LOC141896666,XP_074638065.1,NC_133892.1,7251880,7253292,+,1.7e-41,130.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141889199,LOC141889199,XP_074630513.1,NC_133882.1,6691510,6693445,-,4.3e-35,110.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141891925,LOC141891925,XP_074633080.1,NC_133890.1,15122079,15153225,-,2e-31,98.4
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141891925,LOC141891925,XP_074633079.1,NC_133890.1,15122079,15153225,-,2.4e-31,98.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141891925,LOC141891925,XP_074633077.1,NC_133890.1,15122079,15153225,-,2.4e-31,98.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141891925,LOC141891925,XP_074633076.1,NC_133890.1,15122079,15153225,-,5.4e-31,97.1
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141870786,LOC141870786,XP_074612893.1,NW_027435761.1,6502,6849,+,2.1e-30,95.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141889152,LOC141889152,XP_074630434.1,NC_133889.1,2412342,2413645,+,3.3e-26,81.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141873132,LOC141873132,XP_074613111.1,NC_133883.1,25325760,25326783,+,2.1e-25,79.1
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141877855,LOC141877855,XP_074618992.1,NC_133884.1,12305551,12306200,+,4.7e-25,78.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141893794,LOC141893794,XP_074635317.1,NC_133891.1,4637201,4640248,-,4.9e-25,77.9
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141897003,LOC141897003,XP_074638514.1,NC_133892.1,9147368,9148441,+,8.4e-25,77.2
